fpr,tpr
0.000000,0.000000
0.000000,0.010526
0.001664,0.028070
0.001664,0.073684
0.001664,0.101754
0.001664,0.133333
0.001664,0.136842
0.001664,0.157895
0.001664,0.171930
0.001664,0.175439
0.001664,0.182456
0.001664,0.196491
0.001664,0.196491
0.001664,0.210526
0.003328,0.228070
0.003328,0.245614
0.004992,0.256140
0.004992,0.273684
0.004992,0.291228
0.004992,0.308772
0.004992,0.319298
0.004992,0.343860
0.004992,0.371930
0.004992,0.389474
0.008319,0.407018
0.008319,0.421053
0.008319,0.435088
0.008319,0.445614
0.008319,0.452632
0.009983,0.452632
0.009983,0.459649
0.009983,0.470175
0.009983,0.473684
0.009983,0.477193
0.011647,0.491228
0.011647,0.501754
0.011647,0.505263
0.011647,0.512281
0.013311,0.519298
0.013311,0.519298
0.013311,0.519298
0.013311,0.519298
0.014975,0.526316
0.014975,0.536842
0.014975,0.540351
0.014975,0.547368
0.014975,0.550877
0.014975,0.550877
0.016639,0.561404
0.016639,0.571930
0.016639,0.575439
0.016639,0.578947
0.016639,0.582456
0.018303,0.589474
0.018303,0.600000
0.018303,0.603509
0.018303,0.603509
0.018303,0.610526
0.018303,0.614035
0.018303,0.621053
0.019967,0.624561
0.021631,0.635088
0.021631,0.635088
0.021631,0.635088
0.021631,0.638596
0.021631,0.638596
0.023295,0.638596
0.023295,0.638596
0.024958,0.638596
0.026622,0.642105
0.026622,0.645614
0.028286,0.645614
0.028286,0.645614
0.031614,0.656140
0.031614,0.659649
0.031614,0.659649
0.031614,0.666667
0.031614,0.666667
0.033278,0.666667
0.033278,0.670175
0.033278,0.677193
0.033278,0.680702
0.034942,0.684211
0.034942,0.687719
0.034942,0.691228
0.036606,0.691228
0.036606,0.691228
0.039933,0.698246
0.039933,0.701754
0.041597,0.701754
0.043261,0.701754
0.043261,0.701754
0.044925,0.701754
0.046589,0.705263
0.049917,0.705263
0.049917,0.705263
0.051581,0.705263
0.054908,0.715789
0.054908,0.722807
0.056572,0.722807
0.058236,0.722807
0.061564,0.726316
0.064892,0.726316
0.064892,0.729825
0.066556,0.733333
0.071547,0.740351
0.073211,0.743860
0.074875,0.743860
0.076539,0.747368
0.076539,0.747368
0.078203,0.747368
0.081531,0.754386
0.083195,0.754386
0.084859,0.754386
0.088186,0.757895
0.088186,0.757895
0.089850,0.757895
0.091514,0.764912
0.093178,0.775439
0.096506,0.778947
0.101498,0.778947
0.109817,0.785965
0.114809,0.785965
0.118136,0.789474
0.121464,0.789474
0.124792,0.800000
0.128120,0.803509
0.133111,0.807018
0.143095,0.814035
0.144759,0.814035
0.148087,0.817544
0.148087,0.821053
0.153078,0.821053
0.163062,0.831579
0.166389,0.831579
0.173045,0.835088
0.178037,0.838596
0.179700,0.838596
0.181364,0.842105
0.188020,0.842105
0.198003,0.842105
0.201331,0.842105
0.211314,0.842105
0.216306,0.842105
0.221298,0.842105
0.227953,0.845614
0.236273,0.856140
0.241265,0.866667
0.249584,0.873684
0.254576,0.877193
0.262895,0.884211
0.272879,0.884211
0.281198,0.887719
0.289517,0.887719
0.294509,0.891228
0.299501,0.891228
0.306156,0.898246
0.309484,0.898246
0.322795,0.901754
0.326123,0.905263
0.336106,0.912281
0.347754,0.912281
0.352745,0.915789
0.369384,0.915789
0.387687,0.922807
0.397671,0.926316
0.402662,0.926316
0.414309,0.933333
0.425957,0.933333
0.442596,0.933333
0.457571,0.933333
0.489185,0.933333
0.512479,0.940351
0.529118,0.943860
0.542429,0.943860
0.574043,0.947368
0.597338,0.950877
0.613977,0.954386
0.633943,0.954386
0.652246,0.957895
0.673877,0.957895
0.698835,0.968421
0.727121,0.968421
0.750416,0.971930
0.782030,0.975439
0.810316,0.978947
0.846922,0.985965
0.875208,0.992982
0.910150,0.992982
0.926789,0.996491
0.951747,1.000000
0.965058,1.000000
0.981697,1.000000
0.988353,1.000000
0.993344,1.000000
0.996672,1.000000
0.998336,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
1.000000,1.000000
